areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-01-19,100110,34015,35960
E92000001,England,nation,2021-01-18,98787,34336,40722
E92000001,England,nation,2021-01-17,97548,33352,26210
E92000001,England,nation,2021-01-16,96323,32923,27655
E92000001,England,nation,2021-01-15,95085,33362,36785
E92000001,England,nation,2021-01-14,93926,32925,38535
E92000001,England,nation,2021-01-13,92762,32689,41162
E92000001,England,nation,2021-01-12,91605,32202,44678
E92000001,England,nation,2021-01-11,90435,32070,52016
E92000001,England,nation,2021-01-10,89364,30758,32859
E92000001,England,nation,2021-01-09,88337,29462,35447
E92000001,England,nation,2021-01-08,87364,29346,42335
E92000001,England,nation,2021-01-07,86442,28246,46855
E92000001,England,nation,2021-01-06,85527,27727,51319
E92000001,England,nation,2021-01-05,84645,26467,58039
E92000001,England,nation,2021-01-04,83792,26626,69110
E92000001,England,nation,2021-01-03,83003,24957,49509
E92000001,England,nation,2021-01-02,82319,23557,54174
E92000001,England,nation,2021-01-01,81595,22534,28226
E92000001,England,nation,2020-12-31,80904,22728,46696
E92000001,England,nation,2020-12-30,80203,22713,62885
E92000001,England,nation,2020-12-29,79548,21787,72502
E92000001,England,nation,2020-12-28,78934,20426,40040
E92000001,England,nation,2020-12-27,78319,19277,42434
E92000001,England,nation,2020-12-26,77707,18350,36708
E92000001,England,nation,2020-12-25,77114,17701,12671
E92000001,England,nation,2020-12-24,76556,18227,28694
E92000001,England,nation,2020-12-23,76053,17834,37607
E92000001,England,nation,2020-12-22,75534,18063,40901
E92000001,England,nation,2020-12-21,74995,17709,42594
E92000001,England,nation,2020-12-20,74489,16633,28941
E92000001,England,nation,2020-12-19,74034,16183,21736
E92000001,England,nation,2020-12-18,73577,15866,31831
E92000001,England,nation,2020-12-17,73099,15741,29605
E92000001,England,nation,2020-12-16,72636,15465,30123
E92000001,England,nation,2020-12-15,72250,15031,29094
E92000001,England,nation,2020-12-14,71842,15053,29511
E92000001,England,nation,2020-12-13,71420,14460,18126
E92000001,England,nation,2020-12-12,71010,13927,16029
E92000001,England,nation,2020-12-11,70599,13901,19865
E92000001,England,nation,2020-12-10,70175,13796,18540
E92000001,England,nation,2020-12-09,69768,13467,17460
E92000001,England,nation,2020-12-08,69387,13629,16669
E92000001,England,nation,2020-12-07,68989,13616,17390
E92000001,England,nation,2020-12-06,68610,13189,10871
E92000001,England,nation,2020-12-05,68247,12968,10140
E92000001,England,nation,2020-12-04,67902,12987,12880
E92000001,England,nation,2020-12-03,67482,12896,12526
E92000001,England,nation,2020-12-02,67072,13212,13465
E92000001,England,nation,2020-12-01,66724,13507,13522
E92000001,England,nation,2020-11-30,66365,13756,15027
E92000001,England,nation,2020-11-29,65980,13521,8903
E92000001,England,nation,2020-11-28,65557,13208,9202
E92000001,England,nation,2020-11-27,65168,13754,12266
E92000001,England,nation,2020-11-26,64781,13908,12271
E92000001,England,nation,2020-11-25,64401,14240,13931
E92000001,England,nation,2020-11-24,63965,14506,14026
E92000001,England,nation,2020-11-23,63542,14712,16208
E92000001,England,nation,2020-11-22,63113,14354,10036
E92000001,England,nation,2020-11-21,62693,14118,10618
E92000001,England,nation,2020-11-20,62280,14236,14678
E92000001,England,nation,2020-11-19,61873,14479,15495
E92000001,England,nation,2020-11-18,61466,14490,18205
E92000001,England,nation,2020-11-17,61022,14411,20318
E92000001,England,nation,2020-11-16,60644,14313,23721
E92000001,England,nation,2020-11-15,60282,13886,14208
E92000001,England,nation,2020-11-14,59907,13399,16034
E92000001,England,nation,2020-11-13,59540,13328,21648
E92000001,England,nation,2020-11-12,59188,12967,21949
E92000001,England,nation,2020-11-11,58831,12730,24637
E92000001,England,nation,2020-11-10,58514,12033,24466
E92000001,England,nation,2020-11-09,58185,12259,28094
E92000001,England,nation,2020-11-08,57781,11680,17969
E92000001,England,nation,2020-11-07,57434,11514,16616
E92000001,England,nation,2020-11-06,57086,11181,20827
E92000001,England,nation,2020-11-05,56747,10994,20878
E92000001,England,nation,2020-11-04,56447,11037,20694
E92000001,England,nation,2020-11-03,56164,10971,22311
E92000001,England,nation,2020-11-02,55860,10397,27934
E92000001,England,nation,2020-11-01,55581,9623,13367
E92000001,England,nation,2020-10-31,55298,9782,14344
E92000001,England,nation,2020-10-30,55021,9295,19645
E92000001,England,nation,2020-10-29,54737,9127,19968
E92000001,England,nation,2020-10-28,54484,9070,20232
E92000001,England,nation,2020-10-27,54256,8595,20488
E92000001,England,nation,2020-10-26,54030,7856,22751
E92000001,England,nation,2020-10-25,53812,7612,13164
E92000001,England,nation,2020-10-24,53605,7176,13519
E92000001,England,nation,2020-10-23,53431,6842,18104
E92000001,England,nation,2020-10-22,53248,6345,19609
E92000001,England,nation,2020-10-21,53062,6271,21484
E92000001,England,nation,2020-10-20,52866,6072,21327
E92000001,England,nation,2020-10-19,52689,5644,22107
E92000001,England,nation,2020-10-18,52534,5202,11855
E92000001,England,nation,2020-10-17,52410,5029,12354
E92000001,England,nation,2020-10-16,52242,4854,14545
E92000001,England,nation,2020-10-15,52117,4569,15236
E92000001,England,nation,2020-10-14,51993,4313,16435
E92000001,England,nation,2020-10-13,51889,4105,15434
E92000001,England,nation,2020-10-12,51795,3827,16196
E92000001,England,nation,2020-10-11,51701,3604,9652
E92000001,England,nation,2020-10-10,51595,3369,10151
E92000001,England,nation,2020-10-09,51508,3238,13010
E92000001,England,nation,2020-10-08,51426,3179,15264
E92000001,England,nation,2020-10-07,51346,3066,15183
E92000001,England,nation,2020-10-06,51258,2903,14287
E92000001,England,nation,2020-10-05,51189,2705,14035
E92000001,England,nation,2020-10-04,51135,2435,9830
E92000001,England,nation,2020-10-03,51080,2290,9698
E92000001,England,nation,2020-10-02,51024,2180,11574
E92000001,England,nation,2020-10-01,50955,2069,11303
E92000001,England,nation,2020-09-30,50899,2036,10522
E92000001,England,nation,2020-09-29,50846,1954,8715
E92000001,England,nation,2020-09-28,50804,1955,8572
E92000001,England,nation,2020-09-27,50757,1793,6025
E92000001,England,nation,2020-09-26,50708,1689,5648
E92000001,England,nation,2020-09-25,50665,1686,6032
E92000001,England,nation,2020-09-24,50630,1546,6292
E92000001,England,nation,2020-09-23,50597,1439,5884
E92000001,England,nation,2020-09-22,50545,1378,5354
E92000001,England,nation,2020-09-21,50513,1299,4695
E92000001,England,nation,2020-09-20,50487,1174,4625
E92000001,England,nation,2020-09-19,50453,1081,4175
E92000001,England,nation,2020-09-18,50431,1020,4271
E92000001,England,nation,2020-09-17,50406,984,3938
E92000001,England,nation,2020-09-16,50372,929,3744
E92000001,England,nation,2020-09-15,50347,891,3037
E92000001,England,nation,2020-09-14,50325,812,2891
E92000001,England,nation,2020-09-13,50308,691,1708
E92000001,England,nation,2020-09-12,50290,663,2205
E92000001,England,nation,2020-09-11,50269,622,2858
E92000001,England,nation,2020-09-10,50254,572,3095
E92000001,England,nation,2020-09-09,50239,557,2849
E92000001,England,nation,2020-09-08,50229,535,3001
E92000001,England,nation,2020-09-07,50214,555,3460
E92000001,England,nation,2020-09-06,50194,483,2056
E92000001,England,nation,2020-09-05,50181,471,2189
E92000001,England,nation,2020-09-04,50169,474,2590
E92000001,England,nation,2020-09-03,50155,468,2661
E92000001,England,nation,2020-09-02,50149,451,2617
E92000001,England,nation,2020-09-01,50136,496,1927
E92000001,England,nation,2020-08-31,50127,495,1259
E92000001,England,nation,2020-08-30,50111,479,976
E92000001,England,nation,2020-08-29,50103,478,1039
E92000001,England,nation,2020-08-28,50095,469,1384
E92000001,England,nation,2020-08-27,50084,492,1325
E92000001,England,nation,2020-08-26,50073,485,1138
E92000001,England,nation,2020-08-25,50058,500,1062
E92000001,England,nation,2020-08-24,50039,522,1132
E92000001,England,nation,2020-08-23,50031,522,697
E92000001,England,nation,2020-08-22,50015,594,715
E92000001,England,nation,2020-08-21,50004,528,1005
E92000001,England,nation,2020-08-20,49995,551,1219
E92000001,England,nation,2020-08-19,49979,571,1074
E92000001,England,nation,2020-08-18,49969,597,924
E92000001,England,nation,2020-08-17,49958,626,1135
E92000001,England,nation,2020-08-16,49939,634,529
E92000001,England,nation,2020-08-15,49927,630,643
E92000001,England,nation,2020-08-14,49906,642,1037
E92000001,England,nation,2020-08-13,49891,652,1020
E92000001,England,nation,2020-08-12,49873,642,1095
E92000001,England,nation,2020-08-11,49853,672,1213
